frame,t_s,ok,status,R_mm,D_mm,L_mm,h_max_mm,theta_deg,t_mm,strain_pct,fit_resid_px,n_contacts,arc_samples,skel_samples
0,0.0,1,tracked,6.619395636441756,13.238791272883512,3.3168523440377253,0.21111808130207388,29.01898766711234,0.026694045174537988,0.20163506338538878,1.6266625117495093,1,1539,1572
1,0.03333333333333333,1,tracked,6.555065723791806,13.110131447583612,3.327768658865788,0.21468911183113776,29.408753261014596,0.026694045174537988,0.20361386368447196,3.127413781386147,1,1548,1579
2,0.06666666666666667,1,tracked,5.024794475348416,10.049588950696831,2.3872921663161777,0.14383467755727702,27.4841132451169,0.026694045174537988,0.26562325390121594,3.1903380287757055,3,1096,1574
3,0.1,1,tracked,5.024794475348416,10.049588950696831,2.3872921663161777,0.14383467755727702,27.4841132451169,0.026694045174537988,0.26562325390121594,3.1903380287757055,3,1096,1569
4,0.13333333333333333,1,tracked,4.512016536430722,9.024033072861444,2.354844942976754,0.1563340929256298,30.25318777511461,0.026694045174537988,0.2958105866745625,2.747689275598999,3,1077,1543
5,0.16666666666666666,1,tracked,3.9379348451812306,7.875869690362461,2.33308354830178,0.17675004062118127,34.46283990375232,0.026694045174537988,0.338934571342679,3.2749817893327324,3,1064,1529
6,0.2,1,tracked,3.7824007893039835,7.564801578607967,2.2773073746342165,0.17545977075564156,35.04014944882369,0.026694045174537988,0.3528717164244522,3.5109100231637935,3,1045,1522
7,0.23333333333333334,1,tracked,3.787275379218487,7.574550758436974,2.2559363011583056,0.1718718541173704,34.65475321258172,0.026694045174537988,0.3524175363773833,2.549565974685533,3,982,1456
8,0.26666666666666666,1,tracked,3.9019580529858153,7.803916105971631,2.269495517211537,0.1686452919651104,33.81350505986932,0.026694045174537988,0.3420596122773725,2.910448642019721,3,976,1447
9,0.3,1,tracked,3.9280899085731575,7.856179817146315,2.2623677954622616,0.16639968749592438,33.47328457764382,0.026694045174537988,0.3397840400276677,2.7474215047828503,3,971,1456
10,0.3333333333333333,1,tracked,3.947693057296394,7.895386114592788,2.2604147138067137,0.1652451984320212,33.27262298241974,0.026694045174537988,0.33809676673317146,2.3948263340078375,3,963,1451
11,0.36666666666666664,1,tracked,3.452881063500368,6.905762127000736,2.24819084584942,0.18809973562568935,37.998150525408,0.026694045174537988,0.38654741770162254,3.2595405454003785,3,955,1446
12,0.4,1,tracked,3.452881063500368,6.905762127000736,2.24819084584942,0.18809973562568935,37.998150525408,0.026694045174537988,0.38654741770162254,3.261668846914859,3,955,1446
13,0.43333333333333335,1,tracked,2.9674362874755613,5.934872574951123,2.249443307420967,0.22140654948991867,44.54614973560012,0.026694045174537988,0.4497829538447644,5.481243098054135,3,955,1444
14,0.4666666666666667,1,tracked,2.5743210361251547,5.1486420722503095,2.258461810092945,0.2608893081235665,52.035801823972285,0.026694045174537988,0.5184676813797402,6.353550249612974,3,958,1435
15,0.5,1,tracked,2.2976160270504673,4.595232054100935,2.2488162263574156,0.29393296758795034,58.59972255077056,0.026694045174537988,0.5809074462456222,7.237034124111528,3,947,1410
16,0.5333333333333333,1,tracked,1.9750532564350278,3.9501065128700557,2.242950315939061,0.3492830279550547,69.19672386035901,0.026694045174537988,0.6757803894037965,8.921558586129605,3,943,1388
17,0.5666666666666667,1,tracked,1.9778194609940538,3.9556389219881076,2.246860747888933,0.3500375299032195,69.2237900832409,0.026694045174537988,0.6748352339783718,8.948643853927994,3,941,1383
18,0.6,1,tracked,1.7284156815496952,3.4568313630993903,2.24117221613172,0.4124720875318109,80.83182440948866,0.026694045174537988,0.7722113800368943,11.995367999261786,3,935,1335
19,0.6333333333333333,1,tracked,1.7144582767136336,3.428916553427267,2.2566398795729365,0.42362083688159075,82.31335933640966,0.026694045174537988,0.778497952884178,9.317973821569925,3,939,1343
20,0.6666666666666666,1,tracked,1.6984864836291056,3.396972967258211,2.2527277060028985,0.42720335005008525,83.08223942593942,0.026694045174537988,0.7858185929599397,10.238171009913943,3,938,1343
21,0.7,1,tracked,1.6631758886709174,3.3263517773418347,2.2476647164278556,0.43714372461990136,85.01934717131662,0.026694045174537988,0.8025021693847975,11.251767489063523,3,943,1346
22,0.7333333333333333,1,tracked,1.6631758886709174,3.3263517773418347,2.2476647164278556,0.43714372461990136,85.01934717131662,0.026694045174537988,0.8025021693847975,11.253343736984611,3,943,1346
23,0.7666666666666667,1,tracked,1.6761485333645414,3.352297066729083,2.2412888560578965,0.4297015943303222,83.91558930604481,0.026694045174537988,0.7962911592612528,10.611098643894152,3,934,1340
24,0.8,1,tracked,1.6515299108333896,3.3030598216667792,2.2485227786035624,0.4417417579311666,85.80289019545768,0.026694045174537988,0.8081611177440838,10.69121919568351,3,943,1332
25,0.8333333333333334,1,tracked,1.6445873207824455,3.289174641564891,2.251092193128539,0.4454987334848602,86.37597299878365,0.026694045174537988,0.8115727525443209,11.247014294092182,3,943,1267
26,0.8666666666666667,1,tracked,1.6452183593438454,3.290436718687691,2.2517017875573875,0.4455503990732669,86.36383360469746,0.026694045174537988,0.8112614663862687,10.576607905618,3,936,1325
